item_index,class_type,class,class_elicitation,evidence_category,evidence_text,evidence_elicitation,conversation_history,model_name,model_provider,temperature,device,model_params,model_kwargs,prior_logprob,likelihood_logprob,posterior_logprob,prior_num_tokens,likelihood_num_tokens,posterior_num_tokens,prior_prob,likelihood_prob,posterior_prob,prior_prompt,likelihood_prompt,posterior_prompt,prior_full_text,likelihood_full_text,posterior_full_text,prior_token_logprobs,likelihood_token_logprobs,posterior_token_logprobs
0,novelists, William Shakespeare., My favourite author is,literary_analysis, works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance., I prefer reading,We've been discussing literary styles and historical contexts in literature.,meta-llama/Llama-3.1-8B,hf,1.0,cuda,"{""batch_size"": 32}",{},-5.2051591873168945,-83.90180206298828,-6.195278167724609,3,24,3,0.0054881767232595,3.646786532621481e-37,0.0020390359268138,We've been discussing literary styles and historical contexts in literature. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare.,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance.,We've been discussing literary styles and historical contexts in literature. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance. My favourite author is William Shakespeare.,"[-3.5479869842529297, -0.7962633371353149, -0.8609088659286499]","[-5.289000511169434, -2.5782995223999023, -6.342354774475098, -1.1941574811935425, -0.8704690933227539, -6.937126636505127, -3.0002834796905518, -7.906180381774902, -0.9766554832458496, -3.850252151489258, -0.005443630740046501, -1.3777353763580322, -4.651607513427734, -0.5473440885543823, -4.423310279846191, -0.012708157300949097, -4.429429054260254, -0.168874591588974, -8.165635108947754, -8.20224666595459, -1.3943414688110352, -5.203715801239014, -5.818133354187012, -0.5565007328987122]","[-3.8323044776916504, -0.995391845703125, -1.367582082748413]"
0,novelists, William Shakespeare., My favourite author is,literary_analysis, character-driven narratives., I prefer reading,We've been discussing literary styles and historical contexts in literature.,meta-llama/Llama-3.1-8B,hf,1.0,cuda,"{""batch_size"": 32}",{},-5.2051591873168945,-18.005630493164062,-6.6646342277526855,3,4,3,0.0054881767232595,1.5144468409275835e-08,0.0012752229820854,We've been discussing literary styles and historical contexts in literature. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading character-driven narratives. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare.,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading character-driven narratives.,We've been discussing literary styles and historical contexts in literature. I prefer reading character-driven narratives. My favourite author is William Shakespeare.,"[-3.5479869842529297, -0.7962633371353149, -0.8609088659286499]","[-10.583301544189453, -1.8038426637649536, -3.937466859817505, -1.6810197830200195]","[-4.018360137939453, -1.8006072044372559, -0.8456671237945557]"
0,novelists, William Shakespeare., My favourite author is,historical_context," literature from periods of significant social transition that captures changing values, particularly those written during times when society was undergoing fundamental shifts in perspective about class, gender roles, and interpersonal relationships.", I prefer reading,We've been discussing literary styles and historical contexts in literature.,meta-llama/Llama-3.1-8B,hf,1.0,cuda,"{""batch_size"": 32}",{},-5.2051591873168945,-113.33141326904295,-7.694342613220215,3,35,3,0.0054881767232595,6.036602662837766e-50,0.0004553962616888,We've been discussing literary styles and historical contexts in literature. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,"We've been discussing literary styles and historical contexts in literature. I prefer reading literature from periods of significant social transition that captures changing values, particularly those written during times when society was undergoing fundamental shifts in perspective about class, gender roles, and interpersonal relationships. My favourite author is",We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare.,"We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading literature from periods of significant social transition that captures changing values, particularly those written during times when society was undergoing fundamental shifts in perspective about class, gender roles, and interpersonal relationships.","We've been discussing literary styles and historical contexts in literature. I prefer reading literature from periods of significant social transition that captures changing values, particularly those written during times when society was undergoing fundamental shifts in perspective about class, gender roles, and interpersonal relationships. My favourite author is William Shakespeare.","[-3.5479869842529297, -0.7962633371353149, -0.8609088659286499]","[-4.2250213623046875, -2.044250965118408, -7.6396026611328125, -1.8015658855438232, -5.723495006561279, -1.6954989433288574, -5.112268447875977, -6.395822525024414, -6.95579719543457, -5.784011363983154, -2.2553799152374268, -1.8175840377807617, -5.567165851593018, -2.4801411628723145, -5.3025221824646, -1.867660641670227, -2.92254376411438, -2.508934497833252, -4.244528770446777, -0.9608970880508423, -2.807849407196045, -4.214426040649414, -2.2055504322052, -0.8091405630111694, -4.7386627197265625, -3.614180326461792, -5.02638578414917, -0.3234691619873047, -0.8901742696762085, -2.994570255279541, -0.29746031761169434, -1.039494276046753, -6.210762023925781, -0.4075056314468384, -0.44709137082099915]","[-4.17518424987793, -1.5934702157974243, -1.92568838596344]"
0,novelists, William Shakespeare., My favourite author is,historical_context, social observers., I prefer reading,We've been discussing literary styles and historical contexts in literature.,meta-llama/Llama-3.1-8B,hf,1.0,cuda,"{""batch_size"": 32}",{},-5.2051591873168945,-25.166580200195312,-7.7335309982299805,3,3,3,0.0054881767232595,1.1756907212330752e-11,0.0004378951769639,We've been discussing literary styles and historical contexts in literature. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading social observers. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare.,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading social observers.,We've been discussing literary styles and historical contexts in literature. I prefer reading social observers. My favourite author is William Shakespeare.,"[-3.5479869842529297, -0.7962633371353149, -0.8609088659286499]","[-10.307802200317383, -12.089680671691895, -2.7690985202789307]","[-4.350062847137451, -2.5824971199035645, -0.8009711503982544]"
0,novelists, William Shakespeare., My favourite author is,cultural_impact, books that challenged conventional thinking and introduced progressive social ideas., I prefer reading,We've been discussing literary styles and historical contexts in literature.,meta-llama/Llama-3.1-8B,hf,1.0,cuda,"{""batch_size"": 32}",{},-5.2051591873168945,-45.93075180053711,-6.592617034912109,3,11,3,0.0054881767232595,1.1285685495060324e-20,0.0013704487542755,We've been discussing literary styles and historical contexts in literature. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading books that challenged conventional thinking and introduced progressive social ideas. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare.,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading books that challenged conventional thinking and introduced progressive social ideas.,We've been discussing literary styles and historical contexts in literature. I prefer reading books that challenged conventional thinking and introduced progressive social ideas. My favourite author is William Shakespeare.,"[-3.5479869842529297, -0.7962633371353149, -0.8609088659286499]","[-3.743206024169922, -2.3469152450561523, -11.764205932617188, -7.058764934539795, -1.878677487373352, -1.4106186628341675, -5.0536603927612305, -6.059273719787598, -3.9369068145751953, -1.9966901540756226, -0.6818326711654663]","[-4.11558723449707, -1.5119941234588623, -0.9650353193283081]"
0,novelists, William Shakespeare., My favourite author is,cultural_impact," enduring classics that remain relevant centuries later, particularly those that have been adapted across multiple media formats and continue to shape our understanding of narrative structure and character development in ways that transcend their original historical context.", I prefer reading,We've been discussing literary styles and historical contexts in literature.,meta-llama/Llama-3.1-8B,hf,1.0,cuda,"{""batch_size"": 32}",{},-5.2051591873168945,-106.68000793457033,-5.210804462432861,3,39,3,0.0054881767232595,4.671552400037381e-47,0.0054572817431525,We've been discussing literary styles and historical contexts in literature. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,"We've been discussing literary styles and historical contexts in literature. I prefer reading enduring classics that remain relevant centuries later, particularly those that have been adapted across multiple media formats and continue to shape our understanding of narrative structure and character development in ways that transcend their original historical context. My favourite author is",We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare.,"We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading enduring classics that remain relevant centuries later, particularly those that have been adapted across multiple media formats and continue to shape our understanding of narrative structure and character development in ways that transcend their original historical context.","We've been discussing literary styles and historical contexts in literature. I prefer reading enduring classics that remain relevant centuries later, particularly those that have been adapted across multiple media formats and continue to shape our understanding of narrative structure and character development in ways that transcend their original historical context. My favourite author is William Shakespeare.","[-3.5479869842529297, -0.7962633371353149, -0.8609088659286499]","[-13.352834701538086, -1.1788485050201416, -3.284176826477051, -5.230767726898193, -0.8468723297119141, -5.070234775543213, -0.9019527435302734, -2.10394024848938, -5.666157245635986, -1.598983883857727, -0.8667221069335938, -2.509361982345581, -1.328102707862854, -1.2053134441375732, -6.817814826965332, -2.8049192428588867, -0.905804455280304, -3.8597311973571777, -2.548224449157715, -3.590846538543701, -0.027001766487956047, -5.259726047515869, -1.3452541828155518, -2.588310480117798, -0.05434265732765198, -7.605586051940918, -2.8971312046051025, -1.006133794784546, -1.5010474920272827, -0.523811936378479, -3.560194253921509, -4.626864910125732, -0.19104571640491486, -2.936494827270508, -2.126798629760742, -0.6207782030105591, -2.872140884399414, -0.6495984792709351, -0.6161364316940308]","[-3.0208520889282227, -0.09246855229139328, -2.0974833965301514]"
0,novelists, William Shakespeare., My favourite author is,stylistic_technique, subtle irony., I prefer reading,We've been discussing literary styles and historical contexts in literature.,meta-llama/Llama-3.1-8B,hf,1.0,cuda,"{""batch_size"": 32}",{},-5.2051591873168945,-19.987106323242188,-6.438786029815674,3,3,3,0.0054881767232595,2.087901539933365e-09,0.0015983458475318,We've been discussing literary styles and historical contexts in literature. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading subtle irony. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare.,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading subtle irony.,We've been discussing literary styles and historical contexts in literature. I prefer reading subtle irony. My favourite author is William Shakespeare.,"[-3.5479869842529297, -0.7962633371353149, -0.8609088659286499]","[-12.062447547912598, -4.880325794219971, -3.044332981109619]","[-4.458212375640869, -1.2321553230285645, -0.7484182715415955]"
0,novelists, William Shakespeare., My favourite author is,stylistic_technique, prose that employs wit and carefully structured dialogue to develop character., I prefer reading,We've been discussing literary styles and historical contexts in literature.,meta-llama/Llama-3.1-8B,hf,1.0,cuda,"{""batch_size"": 32}",{},-5.2051591873168945,-54.258262634277344,-7.276557922363281,3,12,3,0.0054881767232595,2.7285752801777758e-24,0.0006915618812977,We've been discussing literary styles and historical contexts in literature. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading prose that employs wit and carefully structured dialogue to develop character. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare.,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading prose that employs wit and carefully structured dialogue to develop character.,We've been discussing literary styles and historical contexts in literature. I prefer reading prose that employs wit and carefully structured dialogue to develop character. My favourite author is William Shakespeare.,"[-3.5479869842529297, -0.7962633371353149, -0.8609088659286499]","[-4.948637962341309, -6.660981178283691, -7.701690196990967, -5.0444746017456055, -0.5769867300987244, -10.770922660827637, -3.9182238578796387, -2.764397621154785, -2.6015281677246094, -5.091274261474609, -2.474489212036133, -1.7046587467193604]","[-4.409891605377197, -1.7283811569213867, -1.1382851600646973]"
0,novelists, Oscar Wilde., My favourite author is,literary_analysis, works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance., I prefer reading,We've been discussing literary styles and historical contexts in literature.,meta-llama/Llama-3.1-8B,hf,1.0,cuda,"{""batch_size"": 32}",{},-5.132436752319336,-84.88868713378906,-6.432952880859375,3,24,3,0.0059021608325297,1.359288372096718e-37,0.0016076964822533,We've been discussing literary styles and historical contexts in literature. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde.,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance.,We've been discussing literary styles and historical contexts in literature. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance. My favourite author is Oscar Wilde.,"[-4.109932899475098, -0.018472891300916672, -1.0040314197540283]","[-5.244307041168213, -2.3554983139038086, -5.928284168243408, -1.0423842668533325, -0.843921959400177, -7.0325117111206055, -2.707038164138794, -7.30240535736084, -0.9684208035469055, -3.736539125442505, -0.004855864215642214, -1.5672786235809326, -4.393767356872559, -0.5073416829109192, -4.6042160987854, -0.013581610284745693, -4.44786262512207, -0.13530997931957245, -8.960211753845215, -8.52011489868164, -1.4802167415618896, -5.932427406311035, -6.591472625732422, -0.5687116384506226]","[-4.916964054107666, -0.015215284191071987, -1.500773549079895]"
0,novelists, Oscar Wilde., My favourite author is,literary_analysis, character-driven narratives., I prefer reading,We've been discussing literary styles and historical contexts in literature.,meta-llama/Llama-3.1-8B,hf,1.0,cuda,"{""batch_size"": 32}",{},-5.132436752319336,-17.572948455810547,-7.253571033477783,3,4,3,0.0059021608325297,2.3343472183080425e-08,0.000707642855111,We've been discussing literary styles and historical contexts in literature. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading character-driven narratives. My favourite author is,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde.,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde. I prefer reading character-driven narratives.,We've been discussing literary styles and historical contexts in literature. I prefer reading character-driven narratives. My favourite author is Oscar Wilde.,"[-4.109932899475098, -0.018472891300916672, -1.0040314197540283]","[-9.951042175292969, -1.8837828636169434, -4.002699375152588, -1.7354247570037842]","[-6.293946266174316, -0.02731802500784397, -0.9323068261146545]"
